service_id,date,exception_type
2502,20241103,1
2502,20241110,1
2502,20241117,1
2502,20241124,1
2502,20241201,1
2502,20241208,1
2502,20241215,1
2502,20241222,1
2502,20241229,1
2502,20241225,1
2516,20241203,1
2516,20241212,1
2516,20241202,1
2516,20241128,1
2516,20241127,1
2516,20241126,1
2516,20241125,1
2516,20241121,1
2516,20241120,1
2516,20241204,1
2516,20241219,1
2516,20241209,1
2516,20241210,1
2516,20241211,1
2516,20241111,1
2516,20241216,1
2516,20241217,1
2516,20241218,1
2516,20241118,1
2516,20241023,1
2516,20241024,1
2516,20241028,1
2516,20241029,1
2516,20241030,1
2516,20241223,1
2516,20241104,1
2516,20241105,1
2516,20241106,1
2516,20241107,1
2516,20241112,1
2516,20241113,1
2516,20241114,1
2516,20241119,1
2662,20241108,1
2662,20241213,1
2662,20241115,1
2662,20241122,1
2662,20241129,1
2662,20241220,1
2662,20241205,1
2662,20241031,1
2663,20241123,1
2663,20241228,1
2663,20241116,1
2663,20241130,1
2663,20241207,1
2663,20241214,1
2663,20241221,1
2663,20241109,1
2663,20241102,1
2665,20241025,1
2667,20241026,1
2667,20260101,1
2695,20241206,1
2695,20241101,1
2748,20241027,1
