trip_id,start_time,end_time,headway_secs
1017D0V,7:00:00,7:59:00,708
1017D0V,7:59:00,8:08:00,1080
1017D0V,8:08:00,8:16:00,480
1017D0V,8:16:00,8:51:00,700
1017D0V,8:51:00,9:00:00,1020
1017D0V,9:00:00,9:09:00,540
1017D0V,9:09:00,19:28:00,599
1017D0V,19:28:00,19:38:00,1200
1017D0V,19:38:00,19:49:00,660
1017D0V,19:49:00,21:13:00,720
1017D0V,21:13:00,22:50:00,930
1017D0V,22:50:00,23:55:00,3900
1017D0V,23:55:00,25:00:00,3900
1017D1I,6:31:00,7:02:00,1860
1017D1I,7:02:00,8:45:00,1545
1017D1I,8:45:00,23:20:00,847
1017D1I,23:20:00,27:05:00,1950
1017D1V,6:05:00,6:35:00,1800
1017D1V,6:35:00,8:15:00,1500
1017D1V,8:15:00,9:26:00,1065
1017D1V,9:26:00,9:39:00,1620
1017D1V,9:39:00,9:52:00,780
1017D1V,9:52:00,16:37:00,900
1017D1V,16:37:00,16:49:00,1440
1017D1V,16:49:00,17:01:00,720
1017D1V,17:01:00,22:50:00,805
1017D1V,22:50:00,27:10:00,1929
1051D2I,6:35:00,7:45:00,4200
1051D2I,7:45:00,8:12:00,1620
1051D2I,8:12:00,22:20:00,1158
1051D2V,7:10:00,8:00:00,3000
1051D2V,8:00:00,22:15:00,1165
1051D0I,5:30:00,6:00:00,1800
1051D0I,6:00:00,6:53:00,1060
1051D0I,6:53:00,8:05:00,720
1051D0I,8:05:00,8:15:00,1200
1051D0I,8:15:00,8:25:00,600
1051D0I,8:25:00,8:44:00,1140
1051D0I,8:44:00,8:53:00,1140
1051D0I,8:53:00,9:03:00,600
1051D0I,9:03:00,21:07:00,679
1051D0I,21:07:00,22:20:00,1060
1051D0V,5:45:00,6:05:00,1200
1051D0V,6:05:00,7:46:00,1010
1051D0V,7:46:00,7:57:00,1320
1051D0V,7:57:00,8:08:00,660
1051D0V,8:08:00,22:05:00,670
1051D0V,22:05:00,22:20:00,900
1051D1I,5:40:00,6:20:00,2400
1051D1I,6:20:00,7:20:00,1800
1051D1I,7:20:00,9:57:00,1047
1051D1I,9:57:00,10:10:00,1560
1051D1I,10:10:00,10:24:00,840
1051D1I,10:24:00,22:15:00,942
1051D1V,5:45:00,6:22:00,2220
1051D1V,6:22:00,7:19:00,1710
1051D1V,7:19:00,18:22:00,995
1051D1V,18:22:00,18:37:00,1800
1051D1V,18:37:00,18:52:00,900
1051D1V,18:52:00,22:15:00,915
964D2I,7:25:00,8:11:00,2760
964D2I,8:11:00,23:00:00,997
964D2I,23:00:00,23:55:00,3300
964D2I,23:55:00,24:50:00,3300
964D2I,24:50:00,25:40:00,3000
964D2V,7:00:00,7:47:00,2820
964D2V,7:47:00,22:35:00,1015
964D2V,22:35:00,23:25:00,3000
964D2V,23:25:00,24:20:00,3300
964D2V,24:20:00,25:15:00,3300
964D0I,6:05:00,6:30:00,1500
964D0I,6:30:00,7:35:00,1300
964D0I,7:35:00,22:20:00,914
964D0I,22:20:00,23:00:00,2400
964D0I,23:00:00,23:55:00,3300
964D0I,23:55:00,24:50:00,3300
964D0I,24:50:00,25:40:00,3000
964D0V,5:40:00,6:05:00,1500
964D0V,6:05:00,7:06:00,1220
964D0V,7:06:00,20:07:00,919
964D0V,20:07:00,20:25:00,2160
964D0V,20:25:00,20:43:00,1080
964D0V,20:43:00,21:55:00,1080
964D0V,21:55:00,22:35:00,2400
964D0V,22:35:00,23:25:00,3000
964D0V,23:25:00,24:20:00,3300
964D0V,24:20:00,25:15:00,3300
964D1I,6:25:00,6:49:00,1440
964D1I,6:49:00,8:41:00,1344
964D1I,8:41:00,21:36:00,861
964D1I,21:36:00,23:00:00,1180
964D1I,23:00:00,23:55:00,3300
964D1I,23:55:00,24:50:00,3300
964D1I,24:50:00,25:40:00,3000
964D1I,25:40:00,26:30:00,3000
964D1I,26:30:00,27:20:00,3000
964D1V,6:00:00,6:25:00,1500
964D1V,6:25:00,8:14:00,1308
964D1V,8:14:00,22:30:00,875
964D1V,22:30:00,23:25:00,3300
964D1V,23:25:00,24:20:00,3300
964D1V,24:20:00,25:15:00,3300
964D1V,25:15:00,26:05:00,3000
964D1V,26:05:00,26:55:00,3000
1019D2I,7:15:00,7:40:00,1500
1019D2I,7:40:00,8:42:00,1240
1019D2I,8:42:00,22:50:00,796
1019D2I,22:50:00,23:40:00,3000
1019D2I,23:40:00,24:30:00,3000
1019D2I,24:30:00,25:20:00,3000
1019D2V,7:15:00,7:40:00,1500
1019D2V,7:40:00,8:20:00,1200
1019D2V,8:20:00,22:25:00,804
1019D2V,22:25:00,23:15:00,3000
1019D2V,23:15:00,24:05:00,3000
1019D2V,24:05:00,24:55:00,3000
1019D2V,24:55:00,25:45:00,3000
1019D0I,5:50:00,6:16:00,1560
1019D0I,6:16:00,19:43:00,723
1019D0I,19:43:00,22:50:00,626
1019D0I,22:50:00,23:40:00,3000
1019D0I,23:40:00,24:30:00,3000
1019D0I,24:30:00,25:20:00,3000
1019D0V,5:50:00,6:20:00,1800
1019D0V,6:20:00,7:31:00,1065
1019D0V,7:31:00,7:53:00,1320
1019D0V,7:53:00,8:04:00,1320
1019D0V,8:04:00,8:15:00,660
1019D0V,8:15:00,17:57:00,728
1019D0V,17:57:00,18:07:00,1200
1019D0V,18:07:00,18:17:00,600
1019D0V,18:17:00,22:25:00,677
1019D0V,22:25:00,23:15:00,3000
1019D0V,23:15:00,24:05:00,3000
1019D0V,24:05:00,24:55:00,3000
1019D0V,24:55:00,25:45:00,3000
1019D1I,7:00:00,7:25:00,1500
1019D1I,7:25:00,8:31:00,1320
1019D1I,8:31:00,20:48:00,776
1019D1I,20:48:00,20:57:00,1080
1019D1I,20:57:00,21:06:00,540
1019D1I,21:06:00,22:50:00,593
1019D1I,22:50:00,23:40:00,3000
1019D1I,23:40:00,24:30:00,3000
1019D1I,24:30:00,25:20:00,3000
1019D1I,25:20:00,26:10:00,3000
1019D1I,26:10:00,27:00:00,3000
1019D1V,6:35:00,7:00:00,1500
1019D1V,7:00:00,8:05:00,1300
1019D1V,8:05:00,9:24:00,948
1019D1V,9:24:00,9:36:00,1440
1019D1V,9:36:00,9:48:00,720
1019D1V,9:48:00,18:37:00,794
1019D1V,18:37:00,18:48:00,1380
1019D1V,18:48:00,19:00:00,720
1019D1V,19:00:00,22:25:00,650
1019D1V,22:25:00,23:15:00,3000
1019D1V,23:15:00,24:05:00,3000
1019D1V,24:05:00,24:55:00,3000
1019D1V,24:55:00,25:45:00,3000
1019D1V,25:45:00,26:35:00,3000
922D2I,6:40:00,7:20:00,2400
922D2I,7:20:00,8:10:00,1500
922D2I,8:10:00,22:40:00,885
922D2I,22:40:00,23:10:00,1800
922D2I,23:10:00,25:30:00,2100
922D2V,6:05:00,6:45:00,2400
922D2V,6:45:00,8:03:00,1560
922D2V,8:03:00,11:14:00,955
922D2V,11:14:00,11:27:00,1560
922D2V,11:27:00,11:40:00,780
922D2V,11:40:00,17:17:00,963
922D2V,17:17:00,17:30:00,1560
922D2V,17:30:00,17:44:00,840
922D2V,17:44:00,19:43:00,893
922D2V,19:43:00,19:54:00,1380
922D2V,19:54:00,20:05:00,660
922D2V,20:05:00,22:40:00,775
922D2V,22:40:00,23:15:00,2100
922D2V,23:15:00,26:10:00,2100
922D0I,6:15:00,6:42:00,1620
922D0I,6:42:00,7:20:00,1140
922D0I,7:20:00,23:10:00,600
922D0I,23:10:00,25:30:00,2100
922D0V,5:40:00,6:05:00,1500
922D0V,6:05:00,7:04:00,885
922D0V,7:04:00,8:12:00,583
922D0V,8:12:00,8:28:00,1440
922D0V,8:28:00,8:37:00,1020
922D0V,8:37:00,8:46:00,540
922D0V,8:46:00,19:29:00,576
922D0V,19:29:00,19:37:00,960
922D0V,19:37:00,19:45:00,480
922D0V,19:45:00,20:10:00,750
922D0V,20:10:00,20:19:00,1020
922D0V,20:19:00,20:28:00,540
922D0V,20:28:00,22:40:00,660
922D0V,22:40:00,23:15:00,2100
922D0V,23:15:00,26:10:00,2100
922D1I,6:15:00,6:52:00,2220
922D1I,6:52:00,7:46:00,1620
922D1I,7:46:00,8:14:00,840
922D1I,8:14:00,14:51:00,681
922D1I,14:51:00,23:10:00,855
922D1I,23:10:00,27:15:00,2100
922D1V,5:40:00,6:18:00,2280
922D1V,6:18:00,7:10:00,1560
922D1V,7:10:00,8:15:00,975
922D1V,8:15:00,13:42:00,654
922D1V,13:42:00,21:29:00,876
922D1V,21:29:00,21:44:00,1740
922D1V,21:44:00,21:58:00,840
922D1V,21:58:00,23:15:00,1155
922D1V,23:15:00,27:10:00,2050
923D2I,7:25:00,8:05:00,2400
923D2I,8:05:00,8:59:00,1620
923D2I,8:59:00,22:50:00,1075
923D2I,22:50:00,23:30:00,2400
923D2I,23:30:00,24:10:00,2400
923D2I,24:10:00,24:50:00,2400
923D2I,24:50:00,25:30:00,2400
923D2V,6:45:00,7:25:00,2400
923D2V,7:25:00,8:20:00,1650
923D2V,8:20:00,20:09:00,1150
923D2V,20:09:00,20:25:00,1860
923D2V,20:25:00,20:41:00,960
923D2V,20:41:00,22:50:00,891
923D2V,22:50:00,23:30:00,2400
923D2V,23:30:00,24:10:00,2400
923D2V,24:10:00,24:50:00,2400
923D2V,24:50:00,25:30:00,2400
923D0I,6:40:00,7:00:00,1200
923D0I,7:00:00,19:42:00,579
923D0I,19:42:00,19:50:00,960
923D0I,19:50:00,19:58:00,480
923D0I,19:58:00,22:05:00,544
923D0I,22:05:00,22:50:00,900
923D0I,22:50:00,23:30:00,2400
923D0I,23:30:00,24:10:00,2400
923D0I,24:10:00,24:50:00,2400
923D0I,24:50:00,25:30:00,2400
923D0V,6:00:00,6:20:00,1200
923D0V,6:20:00,9:05:00,619
923D0V,9:05:00,9:14:00,1080
923D0V,9:14:00,9:23:00,540
923D0V,9:23:00,19:48:00,568
923D0V,19:48:00,19:57:00,1080
923D0V,19:57:00,20:06:00,540
923D0V,20:06:00,21:05:00,590
923D0V,21:05:00,22:10:00,900
923D0V,22:10:00,22:50:00,2400
923D0V,22:50:00,23:30:00,2400
923D0V,23:30:00,24:10:00,2400
923D0V,24:10:00,24:50:00,2400
923D0V,24:50:00,25:30:00,2400
923D1I,6:35:00,7:25:00,3000
923D1I,7:25:00,8:13:00,1440
