route_id,service_id,trip_id,trip_headsign,shape_id
RA-AE,1442,2567943,Aeroport,3
AE-RA,1442,2568255,Rafelbunyol,43
RA-AE,1442,2567944,Aeroport,3
AE-RA,1442,2568256,Rafelbunyol,43
RA-AE,1442,2567945,Aeroport,3
AE-RA,1442,2568257,Rafelbunyol,43
RA-AE,1442,2567946,Aeroport,3
AE-RA,1442,2568258,Rafelbunyol,43
RA-AE,1442,2567947,Aeroport,3
AE-RA,1442,2568259,Rafelbunyol,43
RA-AE,1442,2567948,Aeroport,3
AE-RA,1442,2568260,Rafelbunyol,43
RA-AE,1442,2567949,Aeroport,3
AE-RA,1442,2568261,Rafelbunyol,43
RA-AE,1442,2567950,Aeroport,3
AE-RA,1442,2568262,Rafelbunyol,43
RA-AE,1442,2567951,Aeroport,3
AE-RA,1442,2568263,Rafelbunyol,43
RA-AE,1442,2567952,Aeroport,3
AE-RA,1442,2568264,Rafelbunyol,43
RA-AE,1442,2567953,Aeroport,3
AE-RA,1442,2568265,Rafelbunyol,43
RA-AE,1442,2567954,Aeroport,3
AE-RA,1442,2568266,Rafelbunyol,43
RA-AE,1442,2567955,Aeroport,3
AE-RA,1442,2568267,Rafelbunyol,43
RA-AE,1442,2567956,Aeroport,3
AE-RA,1442,2568268,Rafelbunyol,43
RA-AE,1442,2567957,Aeroport,3
AE-RA,1442,2568269,Rafelbunyol,43
RA-AE,1442,2567958,Aeroport,3
AE-RA,1442,2568270,Rafelbunyol,43
RA-AE,1442,2567959,Aeroport,3
AE-RA,1442,2568271,Rafelbunyol,43
RA-AE,1442,2567960,Aeroport,3
AE-RA,1442,2568272,Rafelbunyol,43
RA-AE,1442,2567961,Aeroport,3
AE-RA,1442,2568273,Rafelbunyol,43
RA-AE,1442,2567962,Aeroport,3
AE-RA,1442,2568274,Rafelbunyol,43
RA-AE,1442,2567963,Aeroport,3
AE-RA,1442,2568275,Rafelbunyol,43
RA-AE,1442,2567964,Aeroport,3
AE-AB,1442,2568276,Alboraia Peris Aragó,43
RA-AE,1442,2567965,Aeroport,3
AE-RA,1442,2568277,Rafelbunyol,43
RA-AE,1442,2567966,Aeroport,3
AE-AB,1442,2568278,Alboraia Peris Aragó,43
RA-AE,1442,2567967,Aeroport,3
AE-RA,1442,2568279,Rafelbunyol,43
AE-AB,1442,2568280,Alboraia Peris Aragó,43
RA-AE,1442,2567968,Aeroport,3
AE-RA,1442,2568281,Rafelbunyol,43
RA-AE,1442,2567969,Aeroport,3
AE-RA,1442,2568282,Rafelbunyol,43
RA-AE,1442,2567970,Aeroport,3
RA-AE,1442,2567971,Aeroport,3
RA-AE,1442,2567972,Aeroport,3
AA-MM,1442,2568285,Marítim,45
MC-AA,1442,2567973,Alameda,3
AA-MM,1442,2568286,Marítim,45
MM-AE,1442,2567974,Aeroport,6
AE-MM,1442,2568287,Marítim,1
MC-AA,1442,2567975,Alameda,3
AE-MM,1442,2568288,Marítim,1
MM-AE,1442,2567976,Aeroport,6
AA-MM,1442,2568289,Marítim,45
MM-AE,1442,2567977,Aeroport,6
AE-MM,1442,2568290,Marítim,1
MC-AA,1442,2567978,Alameda,3
AA-MM,1442,2568291,Marítim,45
MM-AE,1442,2567979,Aeroport,6
AE-MM,1442,2568292,Marítim,1
MM-AE,1442,2567980,Aeroport,6
AE-MM,1442,2568293,Marítim,1
MC-AA,1442,2567981,Alameda,3
AE-MM,1442,2568294,Marítim,1
MM-AE,1442,2567982,Aeroport,6
AE-MM,1442,2568295,Marítim,1
MM-AE,1442,2567983,Aeroport,6
AE-MM,1442,2568296,Marítim,1
MM-AE,1442,2567984,Aeroport,6
AE-MM,1442,2568297,Marítim,1
MM-AE,1442,2567985,Aeroport,6
AE-MM,1442,2568298,Marítim,1
MM-AE,1442,2567986,Aeroport,6
AE-MM,1442,2568299,Marítim,1
MM-AE,1442,2567987,Aeroport,6
AE-MM,1442,2568300,Marítim,1
MM-AE,1442,2567988,Aeroport,6
AE-MM,1442,2568301,Marítim,1
MM-AE,1442,2567989,Aeroport,6
AE-MM,1442,2568302,Marítim,1
MM-AE,1442,2567990,Aeroport,6
AE-MM,1442,2568303,Marítim,1
MM-AE,1442,2567991,Aeroport,6
AE-MM,1442,2568304,Marítim,1
MM-AE,1442,2567992,Aeroport,6
AE-MM,1442,2568305,Marítim,1
MM-AE,1442,2567993,Aeroport,6
AE-MM,1442,2568306,Marítim,1
MM-AE,1442,2567994,Aeroport,6
AE-MM,1442,2568307,Marítim,1
MM-AE,1442,2567995,Aeroport,6
AE-MM,1442,2568308,Marítim,1
MM-AE,1442,2567996,Aeroport,6
AE-MM,1442,2568309,Marítim,1
MM-AE,1442,2567997,Aeroport,6
AE-MM,1442,2568310,Marítim,1
MM-AE,1442,2567998,Aeroport,6
AE-MM,1442,2568311,Marítim,1
MM-AE,1442,2567999,Aeroport,6
AE-MM,1442,2568312,Marítim,1
MM-AE,1442,2568000,Aeroport,6
AE-MM,1442,2568313,Marítim,1
MM-AE,1442,2568001,Aeroport,6
AE-MM,1442,2568314,Marítim,1
MM-AE,1442,2568002,Aeroport,6
AE-MM,1442,2568315,Marítim,1
MM-AE,1442,2568003,Aeroport,6
AE-MM,1442,2568316,Marítim,1
MM-AE,1442,2568004,Aeroport,6
AE-MM,1442,2568317,Marítim,1
MM-AE,1442,2568005,Aeroport,6
AE-MM,1442,2568318,Marítim,1
MM-AE,1442,2568006,Aeroport,6
AE-MM,1442,2568319,Marítim,1
MM-AE,1442,2568007,Aeroport,6
AE-MM,1442,2568320,Marítim,1
MM-AE,1442,2568008,Aeroport,6
AE-MM,1442,2568321,Marítim,1
MM-AE,1442,2568009,Aeroport,6
AE-MM,1442,2568322,Marítim,1
MM-AE,1442,2568010,Aeroport,6
AE-MM,1442,2568323,Marítim,1
MM-AE,1442,2568011,Aeroport,6
AE-MM,1442,2568324,Marítim,1
MM-AE,1442,2568012,Aeroport,6
AE-MM,1442,2568325,Marítim,1
MM-AE,1442,2568013,Aeroport,6
AE-MM,1442,2568326,Marítim,1
MM-AE,1442,2568014,Aeroport,6
AE-MM,1442,2568327,Marítim,1
MM-AE,1442,2568015,Aeroport,6
AE-MM,1442,2568328,Marítim,1
MM-AE,1442,2568016,Aeroport,6
AE-MM,1442,2568329,Marítim,1
MM-AE,1442,2568017,Aeroport,6
AA-MC,1442,2568330,Machado,45
MM-AE,1442,2568018,Aeroport,6
AE-MM,1442,2568331,Marítim,1
MM-AE,1442,2568019,Aeroport,6
MM-AA,1442,2568020,Alameda,6
AE-MC,1442,2568333,Machado,43
AA-MM,1442,2568335,Marítim,45
MC-AA,1442,2568023,Alameda,3
AA-MM,1442,2568336,Marítim,45
MM-TA,1442,2568024,Torrent Avinguda,6
TA-MM,1442,2568337,Marítim,45
MC-AA,1442,2568025,Alameda,3
AA-MM,1442,2568338,Marítim,45
MM-TA,1442,2568026,Torrent Avinguda,6
TA-MM,1442,2568339,Marítim,45
MM-AA,1442,2568027,Alameda,6
AA-MM,1442,2568340,Marítim,45
MM-TA,1442,2568028,Torrent Avinguda,6
TA-MM,1442,2568341,Marítim,45
MM-AA,1442,2568029,Alameda,6
AA-MM,1442,2568342,Marítim,45
MM-TA,1442,2568030,Torrent Avinguda,6
TA-MM,1442,2568343,Marítim,45
MC-AA,1442,2568031,Alameda,3
TA-MM,1442,2568344,Marítim,45
MM-TA,1442,2568032,Torrent Avinguda,6
TA-MM,1442,2568345,Marítim,45
MM-TA,1442,2568033,Torrent Avinguda,6
TA-MM,1442,2568346,Marítim,45
MM-TA,1442,2568034,Torrent Avinguda,6
TA-MM,1442,2568347,Marítim,45
MM-TA,1442,2568035,Torrent Avinguda,6
TA-MM,1442,2568348,Marítim,45
MM-TA,1442,2568036,Torrent Avinguda,6
TA-MM,1442,2568349,Marítim,45
MM-TA,1442,2568037,Torrent Avinguda,6
TA-MM,1442,2568350,Marítim,45
MM-TA,1442,2568038,Torrent Avinguda,6
TA-MM,1442,2568351,Marítim,45
MM-TA,1442,2568039,Torrent Avinguda,6
TA-MM,1442,2568352,Marítim,45
MM-TA,1442,2568040,Torrent Avinguda,6
TA-MM,1442,2568353,Marítim,45
MM-TA,1442,2568041,Torrent Avinguda,6
TA-MM,1442,2568354,Marítim,45
MM-TA,1442,2568042,Torrent Avinguda,6
TA-MM,1442,2568355,Marítim,45
MM-TA,1442,2568043,Torrent Avinguda,6
TA-MM,1442,2568356,Marítim,45
MM-TA,1442,2568044,Torrent Avinguda,6
TA-MM,1442,2568357,Marítim,45
MM-TA,1442,2568045,Torrent Avinguda,6
TA-MM,1442,2568358,Marítim,45
MM-TA,1442,2568046,Torrent Avinguda,6
TA-MM,1442,2568359,Marítim,45
MM-TA,1442,2568047,Torrent Avinguda,6
TA-MM,1442,2568360,Marítim,45
MM-TA,1442,2568048,Torrent Avinguda,6
TA-MM,1442,2568361,Marítim,45
MM-TA,1442,2568049,Torrent Avinguda,6
TA-MM,1442,2568362,Marítim,45
MM-TA,1442,2568050,Torrent Avinguda,6
TA-MM,1442,2568363,Marítim,45
MM-TA,1442,2568051,Torrent Avinguda,6
TA-MM,1442,2568364,Marítim,45
MM-TA,1442,2568052,Torrent Avinguda,6
TA-MM,1442,2568365,Marítim,45
MM-TA,1442,2568053,Torrent Avinguda,6
TA-MM,1442,2568366,Marítim,45
MM-TA,1442,2568054,Torrent Avinguda,6
TA-MM,1442,2568367,Marítim,45
MM-TA,1442,2568055,Torrent Avinguda,6
TA-MM,1442,2568368,Marítim,45
MM-TA,1442,2568056,Torrent Avinguda,6
TA-MM,1442,2568369,Marítim,45
MM-TA,1442,2568057,Torrent Avinguda,6
TA-MM,1442,2568370,Marítim,45
MM-TA,1442,2568058,Torrent Avinguda,6
TA-MM,1442,2568371,Marítim,45
MM-TA,1442,2568059,Torrent Avinguda,6
TA-MM,1442,2568372,Marítim,45
MM-TA,1442,2568060,Torrent Avinguda,6
TA-MM,1442,2568373,Marítim,45
MM-TA,1442,2568061,Torrent Avinguda,6
TA-MM,1442,2568374,Marítim,45
MM-TA,1442,2568062,Torrent Avinguda,6
TA-MM,1442,2568375,Marítim,45
MM-TA,1442,2568063,Torrent Avinguda,6
TA-MM,1442,2568376,Marítim,45
MM-TA,1442,2568064,Torrent Avinguda,6
TA-MM,1442,2568377,Marítim,45
MM-TA,1442,2568065,Torrent Avinguda,6
TA-MM,1442,2568378,Marítim,45
MM-TA,1442,2568066,Torrent Avinguda,6
TA-MC,1442,2568379,Machado,45
MM-TA,1442,2568067,Torrent Avinguda,6
TA-MC,1442,2568380,Machado,45
MM-TA,1442,2568068,Torrent Avinguda,6
MM-TA,1442,2568069,Torrent Avinguda,6
RI-AB,1442,2568382,Alboraia Peris Aragó,69
MC-RI,1442,2568070,Riba-roja de Túria,70
RI-AB,1442,2568383,Alboraia Peris Aragó,69
MC-RI,1442,2568071,Riba-roja de Túria,70
RI-AB,1442,2568384,Alboraia Peris Aragó,69
MC-RI,1442,2568072,Riba-roja de Túria,70
RI-AB,1442,2568385,Alboraia Peris Aragó,69
MC-RI,1442,2568073,Riba-roja de Túria,70
RI-AB,1442,2568386,Alboraia Peris Aragó,69
MC-RI,1442,2568074,Riba-roja de Túria,70
MC-RI,1442,2568075,Riba-roja de Túria,70
RI-AB,1442,2568387,Alboraia Peris Aragó,69
AB-RI,1442,2568076,Riba-roja de Túria,70
AV-AB,1442,2568388,Alboraia Peris Aragó,43
AB-AV,1442,2568077,Av. del Cid,3
RI-AB,1442,2568389,Alboraia Peris Aragó,69
AB-RI,1442,2568078,Riba-roja de Túria,70
AV-AB,1442,2568390,Alboraia Peris Aragó,43
AB-AV,1442,2568079,Av. del Cid,3
RI-AB,1442,2568391,Alboraia Peris Aragó,69
AB-RI,1442,2568080,Riba-roja de Túria,70
AV-AB,1442,2568392,Alboraia Peris Aragó,43
AB-AV,1442,2568081,Av. del Cid,3
RI-AB,1442,2568393,Alboraia Peris Aragó,69
AB-RI,1442,2568082,Riba-roja de Túria,70
AV-AB,1442,2568394,Alboraia Peris Aragó,43
AB-AV,1442,2568083,Av. del Cid,3
RI-AB,1442,2568395,Alboraia Peris Aragó,69
AB-RI,1442,2568084,Riba-roja de Túria,70
AV-AB,1442,2568396,Alboraia Peris Aragó,43
AB-AV,1442,2568085,Av. del Cid,3
RI-AB,1442,2568397,Alboraia Peris Aragó,69
AB-RI,1442,2568086,Riba-roja de Túria,70
AV-AB,1442,2568398,Alboraia Peris Aragó,43
AB-AV,1442,2568087,Av. del Cid,3
RI-AB,1442,2568399,Alboraia Peris Aragó,69
AB-RI,1442,2568088,Riba-roja de Túria,70
AV-AB,1442,2568400,Alboraia Peris Aragó,43
AB-AV,1442,2568089,Av. del Cid,3
RI-AB,1442,2568401,Alboraia Peris Aragó,69
AB-RI,1442,2568090,Riba-roja de Túria,70
AV-AB,1442,2568402,Alboraia Peris Aragó,43
AB-AV,1442,2568091,Av. del Cid,3
RI-AB,1442,2568403,Alboraia Peris Aragó,69
AB-RI,1442,2568092,Riba-roja de Túria,70
AV-AB,1442,2568404,Alboraia Peris Aragó,43
AB-AV,1442,2568093,Av. del Cid,3
RI-AB,1442,2568405,Alboraia Peris Aragó,69
AB-RI,1442,2568094,Riba-roja de Túria,70
AV-AB,1442,2568406,Alboraia Peris Aragó,43
AB-AV,1442,2568095,Av. del Cid,3
RI-AB,1442,2568407,Alboraia Peris Aragó,69
AB-RI,1442,2568096,Riba-roja de Túria,70
AV-AB,1442,2568408,Alboraia Peris Aragó,43
AB-AV,1442,2568097,Av. del Cid,3
RI-AB,1442,2568409,Alboraia Peris Aragó,69
AB-RI,1442,2568098,Riba-roja de Túria,70
AV-AB,1442,2568410,Alboraia Peris Aragó,43
AB-AV,1442,2568099,Av. del Cid,3
RI-AB,1442,2568411,Alboraia Peris Aragó,69
AB-RI,1442,2568100,Riba-roja de Túria,70
AV-AB,1442,2568412,Alboraia Peris Aragó,43
AB-AV,1442,2568101,Av. del Cid,3
RI-AB,1442,2568413,Alboraia Peris Aragó,69
AB-RI,1442,2568102,Riba-roja de Túria,70
AV-AB,1442,2568414,Alboraia Peris Aragó,43
AB-AV,1442,2568103,Av. del Cid,3
RI-AB,1442,2568415,Alboraia Peris Aragó,69
AB-RI,1442,2568104,Riba-roja de Túria,70
AV-AB,1442,2568416,Alboraia Peris Aragó,43
AB-AV,1442,2568105,Av. del Cid,3
RI-AB,1442,2568417,Alboraia Peris Aragó,69
AB-RI,1442,2568106,Riba-roja de Túria,70
RI-MC,1442,2568418,Machado,69
AB-RI,1442,2568107,Riba-roja de Túria,70
RI-MC,1442,2568420,Machado,69
AB-RI,1442,2568108,Riba-roja de Túria,70
VC-BT,1442,2568421,Bétera,48
VS-PS,1442,2568109,Picassent,2
VC-SE,1442,2568422,Seminari - CEU,48
VS-TO,1442,2568110,Torrent,2
PS-BT,1442,2568423,Bétera,48
BT-PS,1442,2568111,Picassent,2
1-TO-SE,1442,2568424,Seminari - CEU,48
1-SE-TO,1442,2568112,Torrent,2
PS-BT,1442,2568425,Bétera,48
BT-PS,1442,2568113,Picassent,2
1-TO-SE,1442,2568426,Seminari - CEU,48
1-SE-TO,1442,2568114,Torrent,2
PS-BT,1442,2568427,Bétera,48
BT-PS,1442,2568115,Picassent,2
VS-PT,1442,2568428,Paterna,47
LL-TA,1442,2568116,Torrent Avinguda,1
TA-LL,1442,2568429,Llíria,47
PT-TA,1442,2568117,Torrent Avinguda,1
TA-PT,1442,2568430,Paterna,47
PT-TA,1442,2568118,Torrent Avinguda,1
TA-LL,1442,2568431,Llíria,47
LL-TA,1442,2568119,Torrent Avinguda,1
TA-PT,1442,2568432,Paterna,47
PT-TA,1442,2568120,Torrent Avinguda,1
TA-LL,1442,2568433,Llíria,47
LL-TA,1442,2568121,Torrent Avinguda,1
AE-AB,1442,2568434,Alboraia Peris Aragó,43
AB-AE,1442,2568122,Aeroport,3
AE-RA,1442,2568435,Rafelbunyol,43
AB-AE,1442,2568123,Aeroport,3
AE-AB,1442,2568436,Alboraia Peris Aragó,43
RA-AE,1442,2568124,Aeroport,3
AE-AB,1442,2568437,Alboraia Peris Aragó,43
AB-AE,1442,2568125,Aeroport,3
AE-RA,1442,2568438,Rafelbunyol,43
RA-AE,1442,2568126,Aeroport,3
AE-AB,1442,2568439,Alboraia Peris Aragó,43
AE-RA,1442,2568440,Rafelbunyol,43
AA-MM,1442,2568441,Marítim,45
MM-AE,1442,2568127,Aeroport,6
AE-MM,1442,2568442,Marítim,1
MC-AA,1442,2568128,Alameda,3
AE-MM,1442,2568443,Marítim,1
MM-AE,1442,2568129,Aeroport,6
AE-MM,1442,2568444,Marítim,1
MM-AE,1442,2568130,Aeroport,6
AE-MM,1442,2568445,Marítim,1
MM-AE,1442,2568131,Aeroport,6
AE-MC,1442,2568446,Machado,43
MM-AE,1442,2568132,Aeroport,6
AV-MC,1442,2568447,Machado,43
MM-AV,1442,2568133,Av. del Cid,6
TA-MM,1442,2568448,Marítim,45
MM-TA,1442,2568134,Torrent Avinguda,6
TA-MM,1442,2568449,Marítim,45
MM-TA,1442,2568135,Torrent Avinguda,6
TA-MM,1442,2568450,Marítim,45
MM-TA,1442,2568136,Torrent Avinguda,6
TA-MM,1442,2568451,Marítim,45
MM-TA,1442,2568137,Torrent Avinguda,6
TA-MM,1442,2568452,Marítim,45
MM-TA,1442,2568138,Torrent Avinguda,6
TA-MC,1442,2568453,Machado,45
MM-TA,1442,2568139,Torrent Avinguda,6
RI-AB,1442,2568454,Alboraia Peris Aragó,69
AB-RI,1442,2568140,Riba-roja de Túria,70
RI-AB,1442,2568455,Alboraia Peris Aragó,69
AB-RI,1442,2568141,Riba-roja de Túria,70
RI-MC,1442,2568456,Machado,69
AB-RI,1442,2568142,Riba-roja de Túria,70
VC-EM,1442,2568189,Empalme,48
VC-EM,1442,2568190,Empalme,48
TA-VS,1442,2568237,València Sud,47
LL-VS,1442,2567925,València Sud,1
