route_id,service_id,trip_id,trip_headsign,shape_id
VS-VC,1442,2567827,Castelló,2
VS-EM,1442,2568143,Empalme,48
VS-BT,1442,2568144,Bétera,48
EM-VC,1442,2567828,Castelló,2
TO-BT,1442,2568145,Bétera,48
VS-TO,1442,2567829,Torrent,2
PS-SE,1442,2568146,Seminari - CEU,48
BT-VC,1442,2567830,Castelló,2
TO-BT,1442,2568147,Bétera,48
BT-TO,1442,2567831,Torrent,2
VC-BT,1442,2568148,Bétera,48
VS-TO,1442,2567832,Torrent,2
1-TO-SE,1442,2568149,Seminari - CEU,48
SE-VC,1442,2567833,Castelló,2
TO-BT,1442,2568150,Bétera,48
BT-TO,1442,2567834,Torrent,2
VC-SE,1442,2568151,Seminari - CEU,48
VS-TO,1442,2567835,Torrent,2
TO-BT,1442,2568152,Bétera,48
BT-VC,1442,2567836,Castelló,2
1-TO-SE,1442,2568153,Seminari - CEU,48
1-SE-TO,1442,2567837,Torrent,2
VC-BT,1442,2568154,Bétera,48
BT-TO,1442,2567838,Torrent,2
1-TO-SE,1442,2568155,Seminari - CEU,48
SE-VC,1442,2567839,Castelló,2
TO-BT,1442,2568156,Bétera,48
BT-TO,1442,2567840,Torrent,2
VC-SE,1442,2568157,Seminari - CEU,48
1-SE-TO,1442,2567841,Torrent,2
TO-BT,1442,2568158,Bétera,48
BT-VC,1442,2567842,Castelló,2
1-TO-SE,1442,2568159,Seminari - CEU,48
1-SE-TO,1442,2567843,Torrent,2
VC-BT,1442,2568160,Bétera,48
BT-TO,1442,2567844,Torrent,2
1-TO-SE,1442,2568161,Seminari - CEU,48
SE-VC,1442,2567845,Castelló,2
TO-BT,1442,2568162,Bétera,48
BT-TO,1442,2567846,Torrent,2
VC-SE,1442,2568163,Seminari - CEU,48
1-SE-TO,1442,2567847,Torrent,2
TO-BT,1442,2568164,Bétera,48
BT-VC,1442,2567848,Castelló,2
1-TO-SE,1442,2568165,Seminari - CEU,48
1-SE-TO,1442,2567849,Torrent,2
VC-BT,1442,2568166,Bétera,48
BT-TO,1442,2567850,Torrent,2
1-TO-SE,1442,2568167,Seminari - CEU,48
SE-VC,1442,2567851,Castelló,2
TO-BT,1442,2568168,Bétera,48
BT-TO,1442,2567852,Torrent,2
VC-SE,1442,2568169,Seminari - CEU,48
1-SE-TO,1442,2567853,Torrent,2
TO-BT,1442,2568170,Bétera,48
BT-VC,1442,2567854,Castelló,2
1-TO-SE,1442,2568171,Seminari - CEU,48
1-SE-TO,1442,2567855,Torrent,2
VC-BT,1442,2568172,Bétera,48
BT-TO,1442,2567856,Torrent,2
1-TO-SE,1442,2568173,Seminari - CEU,48
SE-VC,1442,2567857,Castelló,2
TO-BT,1442,2568174,Bétera,48
BT-TO,1442,2567858,Torrent,2
VC-SE,1442,2568175,Seminari - CEU,48
1-SE-TO,1442,2567859,Torrent,2
TO-BT,1442,2568176,Bétera,48
BT-VC,1442,2567860,Castelló,2
1-TO-SE,1442,2568177,Seminari - CEU,48
1-SE-TO,1442,2567861,Torrent,2
VC-BT,1442,2568178,Bétera,48
BT-TO,1442,2567862,Torrent,2
1-TO-SE,1442,2568179,Seminari - CEU,48
SE-VC,1442,2567863,Castelló,2
TO-BT,1442,2568180,Bétera,48
BT-TO,1442,2567864,Torrent,2
VC-SE,1442,2568181,Seminari - CEU,48
1-SE-TO,1442,2567865,Torrent,2
TO-BT,1442,2568182,Bétera,48
BT-VC,1442,2567866,Castelló,2
1-TO-SE,1442,2568183,Seminari - CEU,48
1-SE-TO,1442,2567867,Torrent,2
VC-BT,1442,2568184,Bétera,48
BT-TO,1442,2567868,Torrent,2
1-TO-SE,1442,2568185,Seminari - CEU,48
SE-VC,1442,2567869,Castelló,2
TO-BT,1442,2568186,Bétera,48
BT-TO,1442,2567870,Torrent,2
VC-EM,1442,2568187,Empalme,48
SE-AC,1442,2567871,L'Alcúdia,2
TO-BT,1442,2568188,Bétera,48
BT-VS,1442,2567872,València Sud,2
SE-PS,1442,2567873,Picassent,2
BT-VS,1442,2567874,València Sud,2
BT-TO,1442,2567875,Torrent,2
VS-LL,1442,2568191,Llíria,47
VS-TA,1442,2567876,Torrent Avinguda,2
TA-LL,1442,2568192,Llíria,47
VS-TA,1442,2567877,Torrent Avinguda,2
PT-TA,1442,2567878,Torrent Avinguda,1
TA-LL,1442,2568193,Llíria,47
VS-TA,1442,2567879,Torrent Avinguda,2
LL-TA,1442,2567880,Torrent Avinguda,1
TA-LL,1442,2568194,Llíria,47
VS-TA,1442,2567881,Torrent Avinguda,2
TA-PT,1442,2568195,Paterna,47
LL-TA,1442,2567882,Torrent Avinguda,1
TA-LL,1442,2568196,Llíria,47
VS-TA,1442,2567883,Torrent Avinguda,2
TA-PT,1442,2568197,Paterna,47
LL-TA,1442,2567884,Torrent Avinguda,1
TA-LL,1442,2568198,Llíria,47
PT-TA,1442,2567885,Torrent Avinguda,1
TA-PT,1442,2568199,Paterna,47
LL-TA,1442,2567886,Torrent Avinguda,1
TA-LL,1442,2568200,Llíria,47
PT-TA,1442,2567887,Torrent Avinguda,1
TA-PT,1442,2568201,Paterna,47
LL-TA,1442,2567888,Torrent Avinguda,1
TA-LL,1442,2568202,Llíria,47
PT-TA,1442,2567889,Torrent Avinguda,1
TA-PT,1442,2568203,Paterna,47
LL-TA,1442,2567890,Torrent Avinguda,1
TA-LL,1442,2568204,Llíria,47
PT-TA,1442,2567891,Torrent Avinguda,1
TA-PT,1442,2568205,Paterna,47
LL-TA,1442,2567892,Torrent Avinguda,1
TA-LL,1442,2568206,Llíria,47
PT-TA,1442,2567893,Torrent Avinguda,1
TA-PT,1442,2568207,Paterna,47
LL-TA,1442,2567894,Torrent Avinguda,1
TA-LL,1442,2568208,Llíria,47
PT-TA,1442,2567895,Torrent Avinguda,1
TA-PT,1442,2568209,Paterna,47
LL-TA,1442,2567896,Torrent Avinguda,1
TA-LL,1442,2568210,Llíria,47
PT-TA,1442,2567897,Torrent Avinguda,1
TA-PT,1442,2568211,Paterna,47
LL-TA,1442,2567898,Torrent Avinguda,1
TA-LL,1442,2568212,Llíria,47
PT-TA,1442,2567899,Torrent Avinguda,1
TA-PT,1442,2568213,Paterna,47
LL-TA,1442,2567900,Torrent Avinguda,1
TA-LL,1442,2568214,Llíria,47
PT-TA,1442,2567901,Torrent Avinguda,1
TA-PT,1442,2568215,Paterna,47
LL-TA,1442,2567902,Torrent Avinguda,1
TA-LL,1442,2568216,Llíria,47
PT-TA,1442,2567903,Torrent Avinguda,1
TA-PT,1442,2568217,Paterna,47
LL-TA,1442,2567904,Torrent Avinguda,1
TA-LL,1442,2568218,Llíria,47
PT-TA,1442,2567905,Torrent Avinguda,1
TA-PT,1442,2568219,Paterna,47
LL-TA,1442,2567906,Torrent Avinguda,1
TA-LL,1442,2568220,Llíria,47
PT-TA,1442,2567907,Torrent Avinguda,1
TA-PT,1442,2568221,Paterna,47
LL-TA,1442,2567908,Torrent Avinguda,1
TA-LL,1442,2568222,Llíria,47
PT-TA,1442,2567909,Torrent Avinguda,1
TA-PT,1442,2568223,Paterna,47
LL-TA,1442,2567910,Torrent Avinguda,1
TA-LL,1442,2568224,Llíria,47
PT-TA,1442,2567911,Torrent Avinguda,1
TA-PT,1442,2568225,Paterna,47
LL-TA,1442,2567912,Torrent Avinguda,1
TA-LL,1442,2568226,Llíria,47
PT-TA,1442,2567913,Torrent Avinguda,1
TA-PT,1442,2568227,Paterna,47
LL-TA,1442,2567914,Torrent Avinguda,1
TA-LL,1442,2568228,Llíria,47
PT-TA,1442,2567915,Torrent Avinguda,1
TA-PT,1442,2568229,Paterna,47
LL-TA,1442,2567916,Torrent Avinguda,1
TA-LL,1442,2568230,Llíria,47
PT-TA,1442,2567917,Torrent Avinguda,1
TA-PT,1442,2568231,Paterna,47
LL-TA,1442,2567918,Torrent Avinguda,1
TA-LL,1442,2568232,Llíria,47
PT-TA,1442,2567919,Torrent Avinguda,1
TA-PT,1442,2568233,Paterna,47
LL-TA,1442,2567920,Torrent Avinguda,1
TA-LL,1442,2568234,Llíria,47
PT-TA,1442,2567921,Torrent Avinguda,1
TA-VS,1442,2568235,València Sud,47
LL-VS,1442,2567922,València Sud,1
TA-LL,1442,2568236,Llíria,47
PT-VS,1442,2567923,València Sud,1
LL-TA,1442,2567924,Torrent Avinguda,1
LL-TA,1442,2567926,Torrent Avinguda,1
MC-RA,1442,2568238,Rafelbunyol,43
MC-AE,1442,2567927,Aeroport,3
AE-RA,1442,2568239,Rafelbunyol,43
MC-AE,1442,2567928,Aeroport,3
AE-RA,1442,2568240,Rafelbunyol,43
RA-AE,1442,2567929,Aeroport,3
AE-RA,1442,2568241,Rafelbunyol,43
RA-AE,1442,2567930,Aeroport,3
AE-RA,1442,2568242,Rafelbunyol,43
AB-AE,1442,2567931,Aeroport,3
AE-RA,1442,2568243,Rafelbunyol,43
RA-AE,1442,2567932,Aeroport,3
AE-RA,1442,2568244,Rafelbunyol,43
AB-AE,1442,2567933,Aeroport,3
AE-RA,1442,2568245,Rafelbunyol,43
RA-AE,1442,2567934,Aeroport,3
AE-RA,1442,2568246,Rafelbunyol,43
AB-AE,1442,2567935,Aeroport,3
AE-RA,1442,2568247,Rafelbunyol,43
RA-AE,1442,2567936,Aeroport,3
AE-RA,1442,2568248,Rafelbunyol,43
RA-AE,1442,2567937,Aeroport,3
AE-RA,1442,2568249,Rafelbunyol,43
RA-AE,1442,2567938,Aeroport,3
AE-RA,1442,2568250,Rafelbunyol,43
RA-AE,1442,2567939,Aeroport,3
AE-RA,1442,2568251,Rafelbunyol,43
RA-AE,1442,2567940,Aeroport,3
AE-RA,1442,2568252,Rafelbunyol,43
RA-AE,1442,2567941,Aeroport,3
AE-RA,1442,2568253,Rafelbunyol,43
RA-AE,1442,2567942,Aeroport,3
AE-RA,1442,2568254,Rafelbunyol,43
